phone,otp,timestamp
555-0101,123456,2024-07-12T10:00:00Z
555-0102,654321,2024-07-12T10:05:00Z
555-0103,112233,2024-07-12T10:10:00Z
555-0104,445566,2024-07-12T10:15:00Z
555-0105,778899,2024-07-12T10:20:00Z
555-0106,998877,2024-07-12T10:25:00Z
555-0107,665544,2024-07-12T10:30:00Z
555-0108,332211,2024-07-12T10:35:00Z
555-0109,223344,2024-07-12T10:40:00Z
555-0110,556677,2024-07-12T10:45:00Z
555-0201,121212,2024-07-12T11:00:00Z
555-0202,232323,2024-07-12T11:05:00Z
555-0203,343434,2024-07-12T11:10:00Z
555-0204,454545,2024-07-12T11:15:00Z
555-0205,565656,2024-07-12T11:20:00Z
555-0101,903379,2026-02-23T21:51:18.008202
System completely offline since yesterday,903192,2026-02-23T21:51:18.588906
555-0101,266810,2026-02-23T21:52:02.224529
System completely offline since yesterday,327038,2026-02-23T21:52:02.363129
555-0101,921046,2026-02-23T21:52:20.816754
System completely offline since yesterday,863304,2026-02-23T21:52:21.118907
555-0101,717535,2026-02-23T21:53:43.177060
System completely offline since yesterday,940397,2026-02-23T21:53:43.563161
555-0101,546003,2026-02-23T21:54:15.376787
System completely offline since yesterday,765415,2026-02-23T21:54:15.686151
555-0101,456381,2026-02-23T21:55:07.851938
System completely offline since yesterday,353424,2026-02-23T21:55:08.194020
555-0101,488407,2026-02-23T21:55:45.484973
System completely offline since yesterday,371757,2026-02-23T21:55:45.784394
555-0101,472100,2026-02-23T21:56:22.921704
System completely offline since yesterday,706215,2026-02-23T21:56:23.209725
555-0101,908328,2026-02-23T21:57:21.817280
System completely offline since yesterday,154039,2026-02-23T21:57:22.133302
555-0101,372835,2026-02-23T21:57:58.207003
System completely offline since yesterday,312860,2026-02-23T21:57:58.556725
555-0101,682426,2026-02-23T21:58:39.834818
System completely offline since yesterday,143578,2026-02-23T21:58:40.138701
555-0101,259996,2026-02-23T22:00:27.381873
System completely offline since yesterday,824400,2026-02-23T22:00:27.688380
555-0101,444312,2026-02-23T22:01:24.499917
System completely offline since yesterday,707724,2026-02-23T22:01:24.837145
555-0101,123456,2026-02-23T22:10:53.706459
555-0101,123456,2026-02-23T22:11:11.072372
555-0101,123456,2026-02-23T22:12:20.533542
555-0101,123456,2026-02-23T22:22:43.423986
555-0101,123456,2026-02-23T22:24:32.083766
555-0101,123456,2026-02-23T22:30:48.784586
555-0101,123456,2026-02-23T22:32:40.610286
